name,vendor,category,status,source,cost_status,notes,cost_detail,estimated_annual_cost,pricing_model,pricing_notes,teams_using,shared_or_individual,overlap_with,interview_question
Wiz.io,Wiz,Cloud Security,confirmed_active,AWS inventory — CloudFormation stacks for Wiz deployment across accounts. Confluence: 'Wiz Critical high bug fixes' release notes.,unknown,Deployed via CloudFormation across all 18 accounts. Active security remediation (Wiz bug fix releases in Confluence). KEY ASK: Contract terms and cost for Ana request.,,"$100,000–$300,000/year",flat_rate,Enterprise CSPM/CWPP. Per-cloud-account or flat annual contract. Likely one of the largest non-AWS line items.,Security; Cloud services,org_wide,,"Wiz is deployed across all 18 AWS accounts. What's the annual contract, and who owns the vendor relationship?"
Trend Micro Cloud One,Trend Micro,Cloud Security,confirmed_active,"AWS Cost Explorer — $1,437.68/month in mm-cake-development listed as 'TrendAI Cloud One'",known,OVERLAP: Running alongside Wiz. May be legacy or complementary (workload protection vs CSPM). Not previously in catalog.,"$1,437.68/month","$17,252/year",usage_based,Cloud workload security. Found in CAKE Development account only.,CAKE/Restaurant,team_level,Wiz.io,"Trend Micro Cloud One is costing $1,400/mo in the CAKE Dev account. Is that intentional alongside Wiz?"
AWS GuardDuty,Amazon,Cloud Security,confirmed_active,AWS inventory — active across all 18 accounts,included_in_aws,Usage-based pricing within AWS bill.,,Usage-based within AWS bill,usage_based,,Security; Cloud services,org_wide,,
AWS Security Hub,Amazon,Cloud Security,confirmed_active,AWS inventory — enabled in CAKE R&D ($11/month),included_in_aws,May not be enabled across all accounts.,,,,,Cloud services,org_wide,,
Snyk,Snyk,DevSecOps,suspected,"AWS — Snyk-related Lambda in CAKE R&D. Confluence — 'Snyk Implementation and Training' (onboarded Jan 2023, Kickoff Dec 2022). Tooling Evaluation mentions Snyk integration as a requirement.",unknown,Full onboarding completed in Jan 2023 with Snyk rep. But minimal recent references suggest it may be underutilized. KEY ASK: Is it still active?,,"$25,000–$100,000/year",per_developer,Per-developer or per-repo. Enterprise pricing. Onboarded with dedicated Snyk implementation consultant.,Unknown — onboarded in 2023 but current adoption unclear,org_wide,,"Snyk was formally onboarded in Jan 2023 with a deployment workshop. Is it actively used in CI/CD pipelines today, or has it gone quiet?"
SageMaker,Amazon,ML/AI Platform,confirmed_active,"AWS AI scan — 9 notebooks in CAKE Dev, 2 in R&D, 1 Studio domain, 31 AI-related S3 buckets",included_in_aws,Active ML infrastructure. Notebooks suggest data science experimentation.,,,,,Data Science; AI/Platform,team_level,,
AWS Bedrock,Amazon,AI/LLM Platform,confirmed_active,"AWS AI scan — accessible in CAKE Dev, R&D, Mgmt. Confluence 'CR - Costing' page details model pricing for Claude, Titan, Llama, Cohere, Stability AI.",included_in_aws,Concierge AI product uses Bedrock. Costing analysis in Architecture space evaluated 6+ foundation models.,,Usage-based — Confluence costing page shows ~260 tokens per prompt cycle,usage_based,Per-token pricing. Costing page selected Claude 2.1 after model comparison.,Concierge/Retail (AI features); Neo/AI platform,team_level,OpenAI,The architecture team did a detailed model comparison and chose Claude 2.1 via Bedrock. Has that been updated since? Any usage of newer models?
Guru,Guru,Knowledge Management,suspected,Restaurant Update deck mentions AI-produced documentation via Guru. Access not confirmed.,unknown,OVERLAP: May overlap with Confluence. Status unclear. KEY ASK for Ana.,,"$0–$18,000/year ($15/user/mo if 100 users)",per_seat,Per-user pricing.,Restaurant (mentioned in deck),org_wide,Confluence,"Is Guru still used alongside Confluence, or has one replaced the other?"
Microsoft Teams,Microsoft,Communication,confirmed_active,"Direct access — active, multiple channels including system monitoring alerts",included_in_m365,OVERLAP: Both Teams AND Slack listed on engineering laptop setup page. Part of M365 licensing.,,Included in Microsoft 365 licensing,per_seat,,All teams,org_wide,Slack,"Both Teams and Slack are on the standard laptop setup. Is one primary and the other legacy, or do different teams use different tools?"
Slack,Salesforce,Communication,confirmed_active,"Cake Engineering Tools page — listed as Yellow/Medium criticality, managed by IT team. Engineering Software page lists it for both Dev and QE laptops.",unknown,"OVERLAP: Dual communication platform. If both are paid, this is a consolidation opportunity.",,"$0–$50,400/year (Pro: $8.75/user/mo for ~370 users, or free tier)",per_seat,"Free tier or Pro/Business+. If paid for all users, significant cost.",Engineering (per laptop setup); IT,org_wide,Microsoft Teams,
Microsoft Forms,Microsoft,Survey / Forms,confirmed_active,Direct use — surveys built on MM account,included_in_m365,Part of Microsoft 365 licensing.,,,,,Engagement (Adam),org_wide,,
Keycloak,Red Hat (OSS),Identity / Auth,confirmed_active,AWS — dev-KeycloakServer-1 EC2 in CAKE Development,included_in_aws,Self-hosted identity provider.,,"$0 (OSS) + EC2 hosting (~$500–1,000/year)",self_hosted,,CAKE/Restaurant,org_wide,,
Neo4j,Neo4j,Database,confirmed_active,AWS — neo4j-2 EC2 instance in CAKE Development,unknown,Graph database. Community vs Enterprise edition unclear.,,"$0 (Community) or $36,000+/year (Enterprise)",per_instance,Community vs Enterprise unclear from AWS scan alone.,CAKE,team_level,,Is Neo4j on the community or enterprise edition? That's a meaningful cost difference.
Kafka,Apache (OSS),Data Platform,confirmed_active,"AWS — 2 Kafka instances (qa-data-platform-kafka1, kafka2) in CAKE Development. Confluence — DP Kafka Cluster Metric Exporting.",included_in_aws,Self-hosted on EC2. Active Kafka observability work (JMX + OpenTelemetry per Confluence).,,"$0 (OSS) + EC2 hosting (~$3,000–6,000/year for 2+ instances)",self_hosted,Apache OSS or Confluent (paid). Check if using Confluent add-ons.,Data Platform; CAKE,team_level,,Is this pure Apache Kafka or are you using any Confluent components?
Elasticsearch,Elastic,Search / Analytics,confirmed_active,"AWS — 6 instances in CAKE Development (qa-data-platform-elastic-*), 5 instances in Retail Prod US (prod-elasticsearch01-05)",included_in_aws,Significant footprint — 11 instances in 2 accounts.,,"$0 (OSS) + EC2 hosting (~$12,000–24,000/year for 11 instances) or Elastic subscription",self_hosted,11 total instances across Dev and Prod. Self-hosted — check if OSS or Elastic subscription.,Data Platform; CAKE; Retail,org_wide,,11 Elasticsearch instances across dev and prod — is this OSS or are you paying for an Elastic subscription?
Amazon MQ (RabbitMQ),Amazon,Message Broker,confirmed_active,"AWS Cost Explorer — $5,709/month across 3 regions (US: $2,909, EU: $1,694, APAC: $1,106). Also dev-rabbitmq-core02 in CAKE Dev.",known,Potential modernization opportunity. $68K/year for managed message broker.,"$5,709/month ($2,909 US + $1,694 EU + $1,106 APAC)","$68,504/year",managed_service,Managed RabbitMQ. Largest single Retail line item.,Retail (all regions),team_level,,"Amazon MQ is $5,700/month across 3 regions. Has modernizing to SQS/SNS or EventBridge been considered?"
AWS CodeArtifact,Amazon,Artifact Registry,confirmed_active,AWS — $12.71/month in Shared Artifact Registry account.,known,OVERLAP: Running alongside NpmJS and Archiva (legacy Maven repo). Consolidation opportunity.,$12.71/month,$152/year,usage_based,,All engineering,org_wide,NpmJS; Archiva,"CodeArtifact, NpmJS, and Archiva — are all three still needed, or can you consolidate?"
NpmJS,npm / GitHub,Package Registry,suspected,"Cake Engineering Tools page — listed as Yellow/Medium criticality, managed by Cloud services team.",unknown,OVERLAP: May be superseded by CodeArtifact.,,$0 (public) or $7/user/mo (Pro/Teams),per_seat,,Engineering (JS/TS repos),org_wide,AWS CodeArtifact,
Archiva,Apache (OSS),Package Registry,suspected,Cake Engineering Tools page — 'Archiva - Maven repository'. Red/High criticality. Managed by Cloud services team.,included_in_aws,OVERLAP: Legacy Maven repo likely superseded by CodeArtifact.,,$0 (OSS) + hosting,self_hosted,,Java teams,org_wide,AWS CodeArtifact,
DockerHub,Docker,Container Registry,confirmed_active,Cake Engineering Tools page — Yellow/Medium criticality. Managed by Leads/Cloud services.,unknown,OVERLAP: Running alongside Amazon ECR ($16.53/mo in Shared Artifact Registry).,,$0 (free) or $5–25/user/mo (Pro/Team/Business),per_seat,,Engineering,org_wide,Amazon ECR,DockerHub vs ECR — which is the standard? Are you on a paid DockerHub plan?
Backstage / TechDocs,Spotify (OSS),Developer Portal,suspected,AWS inventory — mm-techdocs-storage S3 bucket in Shared Artifact Registry,included_in_aws,"Developer portal. If in use, indicates dev experience investment.",,,,,Unknown,org_wide,,
n8n,n8n.io,Workflow Automation,confirmed_active,"Confluence — 'AI ETL Workflows - n8n' in Concierge Team and Architecture spaces. Used for Smart Prompts, AI Summary Validation, Customer Analyzer.",unknown,Active use for AI workflows. Fair-code licensed.,,"$600–$3,600/year (Cloud) or $0 (self-hosted)",per_workflow,Self-hosted or cloud. Used for AI ETL workflows connecting to OpenAI.,Concierge/Retail; QA,team_level,,Is n8n self-hosted or on their cloud plan? It's driving several AI workflows.
Figma,Figma,Design,confirmed_active,Restaurant Update deck. Confluence — 'Design Integration with Cursor' uses Figma MCP server.,unknown,Confirmed by Figma MCP integration in Confluence.,,"$4,500–$9,000/year (5–10 designers at $75/editor/mo)",per_seat,$15/editor/mo (Professional) or $75/editor/mo (Organization).,Product Design (Chris),individual,,
Salesforce,Salesforce,CRM,confirmed_active,"AI space Tools page (under Sales). Cake Engineering Tools page — Yellow/Medium criticality, managed by SFDC team/Cloud services. Confluence — 'Existing Software (SaaS) Contracts'.",unknown,Revenue.io integrates with Salesforce. 'Existing Software (SaaS) Contracts' page tracks entitlement processes.,,"$60,000–$120,000/year (est. 30–50 users at $165–330/user/mo Enterprise)",per_seat,Enterprise/Unlimited editions.,Sales; Operations,team_level,,
Five9,Five9,Customer Support Platform,confirmed_active,"AI space Tools page — listed under Customer Support, owner: Todd",unknown,Listed with Bland.AI as AI-enabled. May be one of the larger non-engineering SaaS costs. KEY ASK for Ana.,,"$36,000–$138,000/year (est. 10–30 agents at $149–$229/agent/mo)",per_agent,Cloud contact center. Core/Premium/Optimum/Ultimate tiers.,Customer Support,team_level,,How many Five9 agent seats does the CS team run? What tier?
Bland.AI,Bland.AI,AI (Customer Support),confirmed_active,AI space Tools page — listed as AI enhancement for Customer Support alongside Five9,unknown,AI-powered phone agent for CS. Paired with Five9.,,"$6,000–$60,000/year (usage-based)",usage_based,AI phone agent. Usage-based pricing per call/minute.,Customer Support,team_level,,
Revenue.io,Revenue.io,AI (Sales),confirmed_active,AI space Tools page — listed as AI enhancement for Sales alongside Salesforce,unknown,AI-powered sales intelligence.,,"$12,000–$60,000/year (per-seat enterprise)",per_seat,Revenue intelligence platform. Integrates with Salesforce.,Sales,team_level,,
Lovable,Lovable.dev,AI Prototyping,confirmed_active,"Confluence — 'Agentic Lovable Dev Flow' (Cake Apps space, March 2026). 'Lovable Puls report components' whiteboard.",unknown,"Active use for prototyping (Security Audit Log screen, Puls report components). Integrated with Cursor workflow.",,"$600–$2,400/year (1–2 users at $50–100/mo)",per_seat,AI app builder. Used for rapid UI prototyping.,Restaurant (Tesla); Reports,individual,,The Agentic Lovable Dev Flow doc from March 2026 shows a sophisticated Cursor + Lovable + Chrome DevTools workflow. How widely adopted is this?
Tyk API Gateway,Tyk Technologies,API Gateway,confirmed_active,"Confluence — Multiple license renewal pages (2022, 2023). 'TYK API Gateway Cost Breakdown' shows £25,000/year Pro Unlimited. ECS clusters running Tyk Dashboard, Gateway, Pump, Identity Broker.",known,"Licensed API gateway with annual renewals. ECS-deployed (Dashboard, Gateway, Pump, Identity Broker). License last renewed 2023.","~£25,000/year ($31,000/year) Pro Unlimited license + dev/test environments £1,500 each","$35,000–$40,000/year",flat_rate,"Pro Unlimited license. Dev/test env: £1,500/env/year. Annual renewal.",Platform (Ultrons); Cloud services,org_wide,,The Tyk license was last renewed in 2023 at ~$35K/year. Is it current?
TeamViewer,TeamViewer,Remote Access,confirmed_active,Cake Engineering Tools page — Yellow/Medium criticality. Managed by Ops team. 'Used to login to POS. Access is granted via Pulse.',unknown,POS-specific remote access through Pulse tunnel.,,"$2,500–$12,000/year",per_seat,Remote access for POS devices. Business/Premium tiers.,Ops/Support,team_level,,
SonarQube,SonarSource,Code Quality,suspected,Confluence — Tooling Evaluation requires Snyk and SonarQube support. Release notes reference 'Sonar & Unit Tests' approvals.,unknown,Referenced as a CI/CD requirement in Tooling Evaluation. Release approvals mention 'Sonar' checks.,,"$0 (Community) or $15,000–$50,000/year (Enterprise)",per_instance,Community (free) or Developer/Enterprise editions.,Engineering (in CI/CD),org_wide,,SonarQube is referenced in release approvals. Is it on the free community edition or a paid tier?
SpiraTest / QCenter,Inflectra / Internal,QA / Test Management,confirmed_active,Confluence — 'Spira - SUTAF Integration Guide'. QCenter referenced in multiple test execution reports.,unknown,Multiple test management tools alongside Jira. QCenter appears to be internal (qcenter.cake.net).,,"$5,000–$20,000/year (SpiraTest) + QCenter (internal?)",per_seat,,"QE teams (Castor, Taurus, Mira)",team_level,,"SpiraTest, QCenter, and Jira are all tracking test results. Is there a plan to consolidate?"
Domo,Domo,BI / Analytics,suspected,Config references in Confluence — 'mm.analyticsUrl' points to Domo analytics. Used for Concierge analytics.,unknown,OVERLAP: Running alongside AWS QuickSight (which has Finance dashboards and cost optimization dashboards).,,"$12,000–$60,000/year",per_seat,BI platform. Professional/Enterprise tiers.,Analytics; Concierge,team_level,AWS QuickSight,"Is Domo still the primary BI tool, or has QuickSight replaced it for some use cases?"
AWS QuickSight,Amazon,BI / Analytics,confirmed_active,"Confluence — 'Quicksight Dashboards' page. Finance Reporting Dashboard, CORA Dashboard, CUDOS Dashboard, Trusted Advisor Organization View.",included_in_aws,"OVERLAP: BI alongside Domo. Finance Reporting Dashboard, CORA (Cost Optimization), CUDOS, Trusted Advisor dashboards.",,Usage-based within AWS bill,usage_based,"$24/author/mo, $5/reader session. Used primarily for FinOps.",Finance; Cloud Engineering,team_level,Domo,
